;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid
0,000000;-61,822121;102,573303;2280,857422;3,636741;1,652430;5,648488;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,035000;-61,821358;102,576805;2280,873047;3,635142;1,611929;5,641976;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,069000;-61,820107;102,575974;2280,872314;3,689795;1,668125;5,648934;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,103000;-61,820633;102,578011;2280,895752;3,657416;1,661005;5,637372;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,138000;-61,818150;102,575623;2280,853271;3,702714;1,630825;5,645147;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,172000;-61,820660;102,574646;2280,866699;3,671390;1,631039;5,641772;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,207000;-61,821857;102,575439;2280,880127;3,566367;1,691319;5,649580;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,241000;-61,819984;102,574165;2280,876465;3,528636;1,625814;5,653558;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,276000;-61,822704;102,574333;2280,858887;3,648473;1,730087;5,640156;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,310000;-61,823936;102,574409;2280,873779;3,572028;1,749322;5,640459;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,345000;-61,821346;102,568947;2280,853760;3,629761;1,670188;5,653008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,379000;-61,818130;102,575928;2280,869385;3,547995;1,663516;5,649232;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,414000;-61,817337;102,569977;2280,860596;3,674706;1,721213;5,644245;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,448000;-61,825272;102,573685;2280,876709;3,685359;1,657103;5,648263;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,483000;-61,820503;102,578903;2280,876221;3,585474;1,708154;5,650469;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,517000;-61,821934;102,577202;2280,852783;3,624512;1,630585;5,645659;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,552000;-61,821384;102,572807;2280,876221;3,602889;1,686055;5,639397;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,586000;-61,820686;102,576782;2280,853516;3,582336;1,656942;5,642433;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,621000;-61,823105;102,575508;2280,878662;3,663795;1,722264;5,654557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,655000;-61,823101;102,570282;2280,885498;3,681990;1,649948;5,647543;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,690000;-61,820415;102,573715;2280,863525;3,575717;1,687904;5,642113;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,724000;-61,820168;102,578041;2280,882568;3,713475;1,683643;5,659400;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,759000;-61,822083;102,575630;2280,884521;3,576449;1,646589;5,641014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,793000;-61,822727;102,573914;2280,884766;3,611396;1,680729;5,638703;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,828000;-61,824635;102,571030;2280,865234;3,631424;1,681626;5,641288;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,862000;-61,817951;102,577072;2280,860596;3,696063;1,716557;5,640707;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
